transaction_id,customer_id,first_name,last_name,email,state,product_type,size,quantity,unit_price,discount_amount,total_amount,collection_type,sale_date
8110523,5446344,Eugene,Patterson,eugene87@yahoo.com,Oklahoma,AmeriGas,20lb,2,24.99,5.0,44.98,Pickup,2024-08-15
9162003,8719145,Kenji,Clark,kenjiclark573@comcast.net,Louisiana,Ferrellgas,33lb,4,49.95,19.98,179.82,Delivery,2024-10-30
6777230,2651177,Elizabeth,Reynolds,elizabethreynolds584@aol.com,Pennsylvania,Ferrellgas,20lb,1,24.99,0.0,24.99,Delivery,2024-04-17
8581730,4934149,Leila,Sanders,leilasanders358@aol.com,Georgia,Ferrellgas,20lb,5,24.99,0.0,124.95,Pickup,2024-05-21
5569064,4240708,Jason,Reynolds,jason52@comcast.net,Massachusetts,NGL Energy,1lb,5,4.49,0.0,22.45,Pickup,2024-03-28
8192211,7372653,Rosa,Reed,rosa98@sbcglobal.net,Utah,Suburban Propane,1lb,4,4.49,0.0,17.96,Pickup,2024-11-01
6630978,9143903,Dmitri,Burns,dburns572@outlook.com,Connecticut,AmeriGas,20lb,3,24.99,7.5,67.47,Delivery,2024-07-10
8714152,2672884,Erik,Gibson,egibson@gmail.com,Ohio,NGL Energy,33lb,1,49.95,0.0,49.95,Pickup,2024-04-30
9249791,2338687,Irina,Walker,irina_walker@comcast,Utah,Suburban Propane,100lb,4,149.0,89.4,506.6,Pickup,2024-06-04
3614824,9302946,Antoine,Watson,antoine.watson@att.net,Tennessee,Suburban Propane,420lb,2,849.0,169.8,1528.2,Delivery,2024-03-16
2622794,5446344,Eugene,Patterson,eugene87@yahoo.com,Oklahoma,AmeriGas,100lb,4,149.0,0.0,596.0,Delivery,2024-10-20
8986637,7191135,Monique,Snyder,monique96@att.net,Minnesota,AmeriGas,33lb,5,49.95,0.0,249.75,Pickup,2024-03-24
6162867,1675419,Joseph,Bailey,joseph.bailey@icloud.com,Georgia,Suburban Propane,420lb,4,849.0,0.0,3396.0,Pickup,2024-02-04
9309978,2338687,Irina,Walker,irina_walker@comcast.net,Utah,NGL Energy,420lb,1,849.0,0.0,849.0,Delivery,2024-09-14
3468450,2913049,Sigrid,Woods,sigrid94@icloud.com,Utah,Suburban Propane,20lb,5,24.99,0.0,124.95,Pickup,2024-02-29
2007511,6507321,Bridget,Thompson,bridget66@hotmail.com,Colorado,AmeriGas,33lb,2,49.95,0.0,99.9,Pickup,2024-05-03
2140205,9795159,Hana,Nelson,hana.nelson@icloud.com,New York,AmeriGas,20lb,5,24.99,10.0,114.95,Delivery,2024-10-27
9770547,4536777,Ricardo,Kim,ricardo.kim@live.com,Minnesota,AmeriGas,100lb,4,149.0,0.0,596.0,Pickup,2024-02-06
6957204,1946973,Sofia,Wells,sofia.w94@hotmail.com,Louisiana,AmeriGas,420lb,5,849.0,212.25,4032.75,Pickup,2024-09-17
8615616,5446344,Eugene,Patterson,eugene87@yahoo.com,Oklahoma,AmeriGas,100lb,1,149.0,0.0,149.0,Delivery,2024-01-17
3172932,3595941,Chantel,Cook,chantel72@yahoo.com,Washington,AmeriGas,33lb,4,49.95,0.0,199.8,Pickup,2024-09-04
6832167,4052834,Ana,Wallace,ana.wallace@att.net,Missouri,Ferrellgas,100lb,4,149.0,0.0,596.0,Pickup,2024-10-21
1162422,6018975,Arjun,Bell,arjun_bell@sbcglobal.net,Oklahoma,Suburban Propane,33lb,3,49.95,17.98,131.87,Delivery,2024-10-15
6384429,9519948,Marcus,Torres,marcustorres1457@yahoo.com,Colorado,Suburban Propane,1lb,4,4.49,1.8,16.16,Pickup,2024-06-06
9795418,5960271,Lucia,King,king.l@icloud.com,Massachusetts,Blue Rhino,20lb,1,24.99,3.0,21.99,Delivery,2024-12-31
1552000,2458591,Arjun,Martinez,arjunmartinez522@gmail.com,Missouri,Blue Rhino,33lb,1,49.95,0.0,49.95,Pickup,2024-05-15
9243207,3457461,Finn,Anderson,finnanderson784@hotmail.com,New Mexico,AmeriGas,100lb,3,149.0,0.0,447.0,Delivery,2024-01-03
7194004,8377556,Daiki,Ross,dross1492@outlook.com,Washington,Ferrellgas,33lb,3,49.95,0.0,149.85,Delivery,2024-02-03
7300065,7891662,Patricia,Price,price.p@sbcglobal.net,Connecticut,AmeriGas,1lb,2,4.49,1.35,7.63,Pickup,2024-04-03
3340778,5993143,Siobhan,Morris,siobhan45@sbcglobal.net,Minnesota,Blue Rhino,100lb,1,149.0,0.0,149.0,Pickup,2024-06-06
8604827,4470105,Pooja,Coleman,pooja.coleman@live.com,Louisiana,Suburban Propane,1lb,1,4.49,0.0,4.49,Delivery,2024-07-04
7291943,9795159,Hana,Nelson,hana.nelson@icloud.com,New York,NGL Energy,1lb,4,4.49,0.0,17.96,Delivery,2024-01-24
6184132,4768844,Stephen,Nelson,stephen.nelson@gmail.com,Virginia,NGL Energy,20lb,4,24.99,0.0,99.96,Pickup,2024-09-13
8745037,8948107,Lars,Gibson,lgibson@outlook.com,Arizona,Ferrellgas,100lb,4,149.0,0.0,596.0,Delivery,2024-08-24
5179788,3294774,Lamont,Anderson,landerson143@hotmail.com,Washington,Blue Rhino,420lb,4,849.0,0.0,3396.0,Pickup,2024-04-17
4371228,6503032,Yuri,Jackson,yuri_jackson@sbcglobal.net,New York,AmeriGas,20lb,2,24.99,6.0,43.98,Delivery,2024-08-02
8910276,1615675,Ethan,Clark,ethan_clark@aol.com,Maryland,AmeriGas,100lb,5,149.0,74.5,670.5,Delivery,2024-12-02
9213276,8115687,Bjorn,Fisher,bjorn.f45@icloud.com,Ohio,Blue Rhino,100lb,3,149.0,67.05,379.95,Pickup,2024-01-01
5999260,1044891,Vikram,Chavez,vchavez671@live.com,Georgia,AmeriGas,100lb,3,149.0,0.0,447.0,Pickup,2024-07-31
8537488,2319479,Priya,Cruz,priya.c22@aol.com,Florida,NGL Energy,20lb,3,24.99,0.0,74.97,Delivery,2024-08-17
2333002,7268384,Sanjay,Vasquez,sanjay.v32@sbcglobal.net,Massachusetts,AmeriGas,420lb,1,849.0,101.88,747.12,Pickup,2024-11-01
8127778,7594429,Sigrid,King,sigrid.king@icloud.com,Michigan,Ferrellgas,33lb,5,49.95,29.97,219.78,Delivery,2024-01-20
9043979,3359075,Darius,Myers,darius.myers@icloud.com,Georgia,AmeriGas,33lb,3,49.95,22.48,127.37,Pickup,2024-05-09
1960353,1624315,Aoife,Ruiz,aoiferuiz555@yahoo.com,Ohio,Ferrellgas,33lb,1,49.95,5.99,43.96,Pickup,2024-07-26
5755579,9874152,Robert,Snyder,robertsnyder1997@hotmail.com,North Carolina,AmeriGas,20lb,4,24.99,0.0,99.96,Delivery,2024-04-05
7656588,4052834,Ana,Wallace,ana.wallace@attnet,Missouri,Ferrellgas,1lb,5,4.49,0.0,22.45,Delivery,2024-06-06
7647377,9646701,Priya,Henry,priya_henry@sbcglobal.net,New Mexico,Blue Rhino,20lb,1,24.99,0.0,24.99,Pickup,2024-02-25
3334991,3477824,Mohammed,Perez,mohammed_perez@outlook.com,Virginia,Blue Rhino,33lb,2,49.95,0.0,99.9,Pickup,2024-03-24
7043399,2642635,Jennifer,Burns,jenniferburns1972@gmail.com,Oklahoma,Ferrellgas,100lb,1,149.0,7.45,141.55,Pickup,2024-06-21
4113428,3420404,Stephen,Woods,stephen.woods@comcast.net,Ohio,AmeriGas,1lb,1,4.49,0.0,4.49,Pickup,2024-05-05
6861649,9795159,Hana,Nelson,hana.nelson@icloud.com,New York,AmeriGas,420lb,3,849.0,0.0,2547.0,Pickup,2024-11-15
3704873,3595941,Chantel,Cook,chantel72@yahoo.com,Washington,Blue Rhino,100lb,1,149.0,0.0,149.0,Pickup,2024-11-02
5426369,8719145,Kenji,Clark,kenjiclark573@comcast.net,Louisiana,AmeriGas,20lb,1,24.99,0.0,24.99,Delivery,2024-04-14
3863692,1675419,Joseph,Bailey,joseph.bailey@icloud.com,Georgia,NGL Energy,1lb,1,4.49,0.67,3.82,Pickup,2024-06-14
5653822,6541407,Antoine,Walker,antoine.walker@outlook.com,Tennessee,Suburban Propane,33lb,4,49.95,0.0,199.8,Delivery,2024-04-23
6562506,6379867,Mohammed,James,mohammed.j39@outlook.com,North Carolina,Blue Rhino,100lb,5,149.0,0.0,745.0,Pickup,2024-08-16
7147725,8713146,Valentina,Griffin,valentina_griffin@outlook.com,Maryland,Blue Rhino,420lb,1,849.0,0.0,849.0,Pickup,2024-01-24
9309231,4431161,Priya,Cooper,priya37@att.net,Colorado,Suburban Propane,100lb,5,149.0,59.6,685.4,Pickup,2024-11-07
9290765,5842082,Benjamin,Wright,benjamin_wright@sbcglobal.net,North Carolina,Suburban Propane,20lb,4,24.99,0.0,99.96,Pickup,2024-02-17
5255656,5842082,Benjamin,Wright,benjamin_wright@sbcglobal.net,North Carolina,NGL Energy,420lb,4,849.0,0.0,3396.0,Delivery,2024-12-19
5191722,9240971,Natasha,Wright,natashawright1000@outlook.com,Iowa,Ferrellgas,420lb,5,849.0,0.0,4245.0,Pickup,2024-05-05
6053293,2919136,Fernando,Murphy,fernando_murphy@sbcglobal.net,Illinois,Ferrellgas,100lb,1,149.0,0.0,149.0,Pickup,2024-05-29
7841598,4431161,Priya,Cooper,priya37@att.net,Colorado,Blue Rhino,420lb,2,849.0,0.0,1698.0,Delivery,2024-07-11
5187652,4318855,Arjun,Allen,arjun.a20@att.net,Kansas,NGL Energy,20lb,5,24.99,0.0,124.95,Delivery,2024-08-19
7069317,7191135,Monique,Snyder,monique96@att.net,Minnesota,NGL Energy,100lb,5,149.0,0.0,745.0,Delivery,2024-02-08
5592983,1801102,Fatima,Gonzalez,fgonzalez203@live.com,Utah,NGL Energy,33lb,1,49.95,0.0,49.95,Pickup,2024-11-03
4029442,5200476,Richard,Lewis,richard.lewis@icloud.com,Utah,Suburban Propane,1lb,2,4.49,0.0,8.98,Pickup,2024-04-07
9783147,1432519,Ana,Jones,ana.j42@aol.com.com,Texas,Blue Rhino,20lb,1,24.99,0.0,24.99,Pickup,2024-12-15
8126489,7783308,Kevin,Stevens,kevin.stevens@outlook.com,Louisiana,NGL Energy,1lb,5,4.49,0.0,22.45,Pickup,2024-04-25
1660619,1946973,Sofia,Wells,sofia.w94@hotmail.com,Louisiana,Suburban Propane,1lb,4,4.49,2.16,15.8,Delivery,2024-07-21
3374513,7667458,Eduardo,Gutierrez,gutierrez.e@yahoo.com,Minnesota,Blue Rhino,20lb,1,24.99,3.75,21.24,Pickup,2024-08-16
9283332,9363326,Chloe,Hernandez,chloe_hernandez@icloud.com,Kansas,Ferrellgas,20lb,2,24.99,0.0,49.98,Pickup,2024-01-27
5480410,9646701,Priya,Henry,priya_henry@sbcglobal.net,New Mexico,Suburban Propane,420lb,3,849.0,203.76,2343.24,Pickup,2024-10-28
6408741,9612629,Isabella,Griffin,isabella.g58@yahoo.com,Iowa,NGL Energy,33lb,5,49.95,0.0,249.75,Pickup,2024-05-31
9459346,3030966,Fernando,Anderson,anderson.f@aol.com,Florida,AmeriGas,100lb,5,149.0,0.0,745.0,Pickup,2024-02-19
6487124,8399399,Dwight,Gonzalez,gonzalez.d@outlook.com,Tennessee,Ferrellgas,100lb,1,149.0,0.0,149.0,Delivery,2024-01-13
8335724,8926478,Sofia,Murray,sofia.murray@sbcglobal.net,Texas,NGL Energy,100lb,4,149.0,0.0,596.0,Delivery,2024-03-10
2826831,8795419,Sigrid,Crawford,sigrid57@live.com,Virginia,Suburban Propane,20lb,2,24.99,0.0,49.98,Pickup,2024-06-27
7847411,7858012,Eugene,Hernandez,eugenehernandez750@aol.com,Minnesota,Ferrellgas,100lb,3,149.0,0.0,447.0,Pickup,2024-07-10
7290752,9519948,Marcus,Torres,marcustorres1457@yahoo.com,Colorado,NGL Energy,420lb,4,849.0,0.0,3396.0,Delivery,2024-06-28
3379602,8212753,Jamal,Wood,jwood1154@live.com,Michigan,Ferrellgas,33lb,2,49.95,11.99,87.91,Delivery,2024-03-18
9245659,1899411,Diego,Hill,diego_hill@live.com,New York,Suburban Propane,20lb,3,24.99,0.0,74.97,Delivery,2024-08-13
5603547,2038068,Zoe,Perez,zoeperez1108@aol.com,Illinois,AmeriGas,20lb,5,24.99,18.74,106.21,Delivery,2024-12-28
5072543,3678638,Arjun,Morales,amorales@hotmail.com,Arizona,NGL Energy,420lb,2,849.0,0.0,1698.0,Pickup,2024-04-13
9646766,9363326,Chloe,Hernandez,chloe_hernandez@icloud.com,Kansas,NGL Energy,1lb,1,4.49,0.0,4.49,Delivery,2024-07-20
3634568,9363326,Chloe,Hernandez,chloe_hernandez@icloud.com,Kansas,Ferrellgas,100lb,5,149.0,0.0,745.0,Pickup,2024-12-29
3622672,6307805,Ali,Flores,ali.f51@aol.com,Ohio,NGL Energy,20lb,2,24.99,0.0,49.98,Delivery,2024-04-10
8431976,9302946,Antoine,Watson,antoine.watson@@att.net,Tennessee,AmeriGas,20lb,4,24.99,0.0,99.96,Pickup,2024-02-11
7352396,1432519,Ana,Jones,ana.j42@aol.com,Texas,AmeriGas,1lb,2,4.49,0.0,8.98,Delivery,2024-02-14
5406118,4551070,Ethan,Long,long.e@aol.com,Utah,Blue Rhino,420lb,4,849.0,407.52,2988.48,Delivery,2024-08-11
6621223,9230828,Emma,Carter,ecarter@aol.com,Minnesota,NGL Energy,100lb,1,149.0,0.0,149.0,Delivery,2024-04-25
2635366,3508522,Paulo,Washington,paulowashington1664@comcast.net,Georgia,NGL Energy,33lb,2,49.95,0.0,99.9,Pickup,2024-07-11
5780038,9646701,Priya,Henry,priya_henry@sbcglobal.net,New Mexico,Ferrellgas,1lb,4,4.49,2.16,15.8,Pickup,2024-09-24
5950084,5040453,Shanice,Singh,shanice.s82@outlook.com,North Carolina,Suburban Propane,420lb,3,849.0,127.35,2419.65,Delivery,2024-06-24
6752873,9225346,Chloe,White,chloe19@yahoo.com,Florida,Ferrellgas,100lb,2,149.0,0.0,298.0,Pickup,2024-11-16
3198789,5856117,Shannon,Sanchez,ssanchez1604@gmail.com,Illinois,Suburban Propane,1lb,5,4.49,0.0,22.45,Pickup,2024-04-03
7723485,3718884,Natasha,Baker,natasha.baker@hotmail.com,Oklahoma,Blue Rhino,33lb,1,49.95,7.49,42.46,Delivery,2024-02-19
3134259,7296605,Priya,Edwards,priya.e90@yahoo.com,Maryland,AmeriGas,420lb,1,849.0,42.45,806.55,Delivery,2024-06-03
3284720,2893218,Thomas,Gonzalez,thomas.gonzalez@live,Florida,Blue Rhino,1lb,4,4.49,0.0,17.96,Pickup,2024-09-05
6093108,7907400,Aisha,Ward,aishaward858@outlook.com,Oklahoma,AmeriGas,1lb,5,4.49,0.0,22.45,Pickup,2024-10-02
4623343,6068298,Chantel,Reed,chantel_reed@comcast.net,Indiana,Blue Rhino,1lb,3,4.49,0.67,12.8,Delivery,2024-07-28
8478868,4374754,Niamh,Jordan,njordan1917@aol.com,Nevada,AmeriGas,33lb,4,49.95,0.0,199.8,Pickup,2024-03-13
8608923,4024309,Dmitri,Morales,dmitri.m18@sbcglobal.net,Ohio,Suburban Propane,33lb,4,49.95,29.97,169.83,Delivery,2024-04-23
4967894,9748499,Aoife,Bryant,aoife.bryant@gmail.com,Tennessee,AmeriGas,33lb,4,49.95,0.0,199.8,Pickup,2024-08-05
3557213,1447451,Sanjay,Hernandez,sanjay50@comcast.net,Florida,AmeriGas,20lb,3,24.99,11.25,63.72,Pickup,2024-07-26
9472875,9132114,Maria,Rodriguez,maria.r21@live.com,Michigan,Blue Rhino,1lb,3,4.49,0.0,13.47,Delivery,2024-05-14
1762444,6455706,Hana,Washington,hwashington1110@hotmail.com,Tennessee,NGL Energy,1lb,2,4.49,0.0,8.98,Delivery,2024-02-19
1898516,3770370,Nadia,Washington,washington.n@live.com,Maryland,AmeriGas,33lb,2,49.95,0.0,99.9,Delivery,2024-03-31
6739966,7082139,Lucia,Watson,watson.l@yahoo.com,Maryland,Blue Rhino,33lb,3,49.95,0.0,149.85,Delivery,2024-08-20
9900282,7631419,Barbara,Johnson,barbara_johnson@icloud.com,Ohio,Ferrellgas,100lb,1,149.0,14.9,134.1,Delivery,2024-07-02
5278461,9519948,Marcus,Torres,marcustorres1457@yahoo.com,Colorado,AmeriGas,33lb,4,49.95,0.0,199.8,Pickup,2024-01-11
4954093,6217344,Roberto,Bennett,roberto.b18@aol.com,Oregon,Suburban Propane,100lb,4,149.0,0.0,596.0,Delivery,2024-05-24
4018677,3678638,Arjun,Morales,amorales@hotmail.com,Arizona,NGL Energy,1lb,4,4.49,0.0,17.96,Pickup,2024-11-15
7935621,7171347,Ricardo,West,ricardo_west@sbcglobal.net,Missouri,Blue Rhino,420lb,2,849.0,0.0,1698.0,Pickup,2024-09-10
9663280,5098412,Takeshi,Wood,twood1782@outlook.com,Indiana,Suburban Propane,33lb,3,49.95,0.0,149.85,Delivery,2024-06-02
4262346,7923579,Sanjay,Simpson,ssimpson@att.net,North Carolina,Blue Rhino,20lb,1,24.99,2.0,22.99,Delivery,2024-08-11
8737309,9712003,Ahmed,Harris,ahmedharris956@comcast.net,Utah,Suburban Propane,20lb,5,24.99,0.0,124.95,Pickup,2024-12-27
2164313,2374158,Antoine,Garcia,antoine.garcia@att.net,New Mexico,Suburban Propane,20lb,5,24.99,0.0,124.95,Delivery,2024-05-29
8350277,9633492,James,Burns,burns.j@sbcglobal.net,Missouri,Blue Rhino,420lb,2,849.0,0.0,1698.0,Delivery,2024-09-08
5594635,9225346,Chloe,White,chloe19@yahoo.com,Florida,Blue Rhino,20lb,4,24.99,8.0,91.96,Pickup,2024-03-09
5616776,6422534,Dwight,Hill,dwighthill1035@sbcglobal.net,New Mexico,Suburban Propane,100lb,1,149.0,0.0,149.0,Delivery,2024-04-17
3061828,1624315,Aoife,Ruiz,aoiferuiz555@yahoo.com,Ohio,NGL Energy,33lb,2,49.95,0.0,99.9,Delivery,2024-09-20
2647562,2229110,Freya,Nguyen,freya_nguyen@att.net,Iowa,Blue Rhino,420lb,4,849.0,0.0,3396.0,Delivery,2024-01-17
8452780,8519121,William,Lewis,william.l89@@hotmail.com,Georgia,Suburban Propane,100lb,3,149.0,53.64,393.36,Delivery,2024-02-16
8545615,4024309,Dmitri,Morales,dmitri.m18@sbcglobal.net,Ohio,Suburban Propane,33lb,4,49.95,0.0,199.8,Pickup,2024-02-10
5142216,6068298,Chantel,Reed,chantel_reed@comcast.net,Indiana,NGL Energy,420lb,2,849.0,254.7,1443.3,Delivery,2024-11-09
8263690,7082139,Lucia,Watson,watson.l@yahoo.com,Maryland,Ferrellgas,1lb,3,4.49,0.0,13.47,Delivery,2024-01-29
6640806,2038068,Zoe,Perez,zoeperez1108@aol.com,Illinois,Ferrellgas,420lb,2,849.0,0.0,1698.0,Delivery,2024-09-05
4768723,2567468,Andre,Carter,acarter@live.com,Virginia,NGL Energy,1lb,1,4.49,0.0,4.49,Delivery,2024-08-21
4450430,1098919,Hiroshi,Gray,gray.h@comcast.net,Wisconsin,Ferrellgas,33lb,5,49.95,0.0,249.75,Delivery,2024-12-21
9090660,9874152,Robert,Snyder,robertsnyder1997@hotmail.com,North Carolina,Blue Rhino,420lb,5,849.0,0.0,4245.0,Delivery,2024-08-24
6026983,1485654,Patricia,Long,patricia_long@gmail.com,Tennessee,Suburban Propane,33lb,2,49.95,5.0,94.9,Delivery,2024-02-05
8359842,6018975,Arjun,Bell,arjun_bell@sbcglobal.net,Oklahoma,Suburban Propane,420lb,1,849.0,0.0,849.0,Pickup,2024-08-31
8783741,8113787,Marcus,Cole,marcus_cole@comcast.net,Missouri,Suburban Propane,100lb,1,149.0,0.0,149.0,Pickup,2024-06-12
5052611,8113787,Marcus,Cole,marcus_cole@comcast.net,Missouri,AmeriGas,100lb,1,149.0,11.92,137.08,Delivery,2024-08-13
3673793,9519948,Marcus,Torres,marcustorres1457@yahoo.com,Colorado,Suburban Propane,420lb,5,849.0,0.0,4245.0,Delivery,2024-03-17
3869392,8007741,Finn,Allen,finn.allen@comcast.net,Connecticut,Blue Rhino,33lb,3,49.95,0.0,149.85,Delivery,2024-06-15
7110145,2921542,Mei,Cruz,mei.cruz@yahoo.com,Louisiana,Ferrellgas,20lb,4,24.99,14.99,84.97,Delivery,2024-04-13
7417663,8318550,William,Bryant,william55@yahoo.com,Louisiana,Suburban Propane,20lb,3,24.99,6.0,68.97,Delivery,2024-08-15
8155873,8948107,Lars,Gibson,lgibson@outlook.com,Arizona,Ferrellgas,33lb,2,49.95,0.0,99.9,Delivery,2024-03-01
1736129,7594429,Sigrid,King,sigrid.king@icloud.com,Michigan,Blue Rhino,100lb,4,149.0,0.0,596.0,Pickup,2024-07-31
7897563,7333337,Ryo,Lee,rlee@att.net,New York,Suburban Propane,420lb,3,849.0,0.0,2547.0,Pickup,2024-02-01
7251562,2642635,Jennifer,Burns,jenniferburns1972@gmail.com,Oklahoma,Ferrellgas,20lb,1,24.99,0.0,24.99,Delivery,2024-09-30
9545877,4024309,Dmitri,Morales,dmitri.m18sbcglobal.net,Ohio,AmeriGas,20lb,1,24.99,0.0,24.99,Delivery,2024-03-19
6268490,8344365,Benjamin,Webb,bwebb@att.net,Kansas,AmeriGas,100lb,2,149.0,29.8,268.2,Delivery,2024-07-07
8617224,9935249,Boris,Wells,boris51@att.net,Oklahoma,Blue Rhino,420lb,1,849.0,0.0,849.0,Pickup,2024-08-29
3244614,2651177,Elizabeth,Reynolds,elizabethreynolds584@aol.com,Pennsylvania,Ferrellgas,100lb,3,149.0,0.0,447.0,Pickup,2024-07-05
5488496,2038068,Zoe,Perez,zoeperez1108@aol.com,Illinois,Ferrellgas,420lb,5,849.0,424.5,3820.5,Delivery,2024-03-01
1315519,8612582,Leila,Reyes,leila.r93@hotmail.com,Pennsylvania,Suburban Propane,100lb,1,149.0,7.45,141.55,Pickup,2024-11-11
3909338,4700025,Marcus,Rivera,rivera.m@hotmail.com,Colorado,Suburban Propane,20lb,2,24.99,0.0,49.98,Delivery,2024-07-26
3318275,6261415,Barbara,Thomas,bthomas1104@live.com,Illinois,Suburban Propane,420lb,5,849.0,636.75,3608.25,Delivery,2024-02-27
7107490,7322070,Dwight,Phillips,dwight46@sbcglobal.net,Massachusetts,AmeriGas,420lb,3,849.0,0.0,2547.0,Delivery,2024-05-18
6162843,6379867,Mohammed,James,mohammed.j39@outlook.com,North Carolina,Suburban Propane,33lb,3,49.95,0.0,149.85,Pickup,2024-06-22
7837960,6357240,Peter,Jordan,peter72@outlook.com,New York,Suburban Propane,100lb,2,149.0,0.0,298.0,Pickup,2024-01-25
7883587,9712003,Ahmed,Harris,ahmedharris956@comcast.net,Utah,Blue Rhino,1lb,5,4.49,3.37,19.08,Pickup,2024-07-09
2389566,3508522,Paulo,Washington,paulowashington1664@comcastnet,Georgia,Suburban Propane,1lb,1,4.49,0.0,4.49,Pickup,2024-05-10
6327664,7597509,Tamara,Bryant,tamara.b46@icloud.com,California,AmeriGas,1lb,1,4.49,0.0,4.49,Pickup,2024-03-12
6309796,9468772,Kavita,Vasquez,kvasquez@sbcglobal.net,Nevada,Ferrellgas,420lb,5,849.0,0.0,4245.0,Delivery,2024-03-01
1051543,2326581,Zoe,Perry,zoe.p35@yahoo.com,Colorado,Ferrellgas,100lb,1,149.0,0.0,149.0,Delivery,2024-10-03
9199476,2721170,Lars,Wright,larswright1637@hotmail.com,North Carolina,NGL Energy,100lb,3,149.0,0.0,447.0,Pickup,2024-08-30
6405839,2651177,Elizabeth,Reynolds,elizabethreynolds584@aol.com,Pennsylvania,NGL Energy,20lb,1,24.99,0.0,24.99,Pickup,2024-02-27
1494247,5608259,Barbara,Russell,barbararussell710@att.net,Nevada,Blue Rhino,33lb,1,49.95,0.0,49.95,Delivery,2024-05-28
5174163,8375356,Sanjay,Owens,sanjay.o78@sbcglobal.net,Ohio,NGL Energy,20lb,2,24.99,6.0,43.98,Pickup,2024-12-11
6210006,1044891,Vikram,Chavez,vchavez671@live.com,Georgia,Suburban Propane,100lb,5,149.0,0.0,745.0,Delivery,2024-02-22
3928275,1604451,Takeshi,Singh,tsingh@att.net,California,Ferrellgas,33lb,3,49.95,0.0,149.85,Delivery,2024-08-11
5002586,7067228,Elena,Collins,elena.collins@yahoo,Maryland,Ferrellgas,1lb,2,4.49,0.0,8.98,Pickup,2024-11-16
1351266,7597509,Tamara,Bryant,tamara.b46@icloud.com,California,Suburban Propane,33lb,2,49.95,11.99,87.91,Pickup,2024-09-15
